example_id|uid|norm_type|norm_number|act|article|art_punkt|date|occurrence_count|total_files|models
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|общий||ГК РФ|185|||2|2|gpt;qwen
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный||ГК РФ|185.1|||2|2|gpt;qwen
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный||ГК РФ|551|||2|2|gpt;qwen
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный|4462-1|Основы законодательства Российской Федерации о нотариате|54||11.02.1993|2|2|gpt;qwen
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный||ГК РФ|550|||1|2|qwen
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный||ГК РФ|867|||1|2|qwen
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|общий||ГК РФ|174|||1|2|qwen
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный|218-ФЗ|ФЗ|42||13.07.2015|1|2|qwen
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|общий||ГК РФ|182|||1|2|gpt
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|общий||ГК РФ|188|||1|2|gpt
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|общий||ГК РФ|209|||1|2|gpt
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный||ГК РФ|549|||1|2|gpt
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный||ГК РФ|556|||1|2|gpt
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный||ГК РФ|558|||1|2|gpt
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный|218-ФЗ|ФЗ|1||13.07.2015|1|2|gpt
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный|218-ФЗ|ФЗ|14||13.07.2015|1|2|gpt
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный|218-ФЗ|ФЗ|18||13.07.2015|1|2|gpt
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный|218-ФЗ|ФЗ|29||13.07.2015|1|2|gpt
1384|fc1f8f15-69ed-4fee-9868-c5b5a78dc1bc|специальный|4462-1|Основы законодательства Российской Федерации о нотариате|55||11.02.1993|1|2|gpt
