ID|uid|act|date|number|art|count|models
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|УК|||163|2|['qwen', 'perplexity_claude_sonnet']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|УК|||159|3|['qwen', 'gpt', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|ГК|||782|1|['qwen']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|ПП|04.10.2012|1006||1|['qwen']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|КОАП|||14.8|1|['qwen']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|ФЗ|02.05.2006|59-ФЗ|8|1|['qwen']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|Конституция|||41|3|['gpt', 'perplexity_grok', 'gemini']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|ФЗ|21.11.2011|323-ФЗ|11|3|['gpt', 'perplexity_grok', 'gemini']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|ФЗ|21.11.2011|323-ФЗ|19|4|['gpt', 'perplexity_grok', 'gemini', 'perplexity_claude_sonnet', 'perplexity_claude_sonnet']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|ФЗ|21.11.2011|323-ФЗ|73|1|['gpt']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|УК|||124|1|['gpt']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|ГК|||575|1|['perplexity_grok']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|"Закон Российской Федерации от 07.02.1992 № 2300-1 ""О защите прав потребителей"""|07.02.1992|2300-1|16|1|['perplexity_grok']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|ГПК|||17|1|['perplexity_grok']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|УК|||291.2|1|['gemini']
0|466f428e-0e4b-4d07-b042-c1d22ff2ce88|ФЗ|21.11.2011|323-ФЗ|32|1|['perplexity_claude_sonnet']
